symbol,quantity,avg_price,current_price,pnl,pnl_percent,investment_value,current_value,exchange,instrument_type,isin,demat_free_quantity,predicted_return,confidence,recommendation,analysis_summary
SGBAUG28V,1.0,4775.0,4775.0,0.0,0.0,4775.0,4775.0,NSE,EQUITY,IN0020200161,1.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
SBICARD,10.0,754.97,754.97,0.0,0.0,7549.700000000001,7549.700000000001,NSE,EQUITY,INE018E01016,10.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
HINDUNILVR,15.0,2205.22,2205.22,0.0,0.0,33078.299999999996,33078.299999999996,NSE,EQUITY,INE030A01027,15.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
EMBASSY,30.0,374.07,374.07,0.0,0.0,11222.1,11222.1,NSE,EQUITY,INE041025011,30.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
KPITTECH,17.0,597.18,597.18,0.0,0.0,10152.06,10152.06,NSE,EQUITY,INE04I401011,17.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
TATASTEEL,300.0,108.61,108.61,0.0,0.0,32583.0,32583.0,NSE,EQUITY,INE081A01020,300.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
ICICIBANK,40.0,762.44,762.44,0.0,0.0,30497.600000000002,30497.600000000002,NSE,EQUITY,INE090A01021,40.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
M&M,10.0,832.06,832.06,0.0,0.0,8320.599999999999,8320.599999999999,NSE,EQUITY,INE101A01026,10.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
ITC,50.0,230.84,230.84,0.0,0.0,11542.0,11542.0,NSE,EQUITY,INE154A01025,50.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
HEROMOTOCO,4.0,2604.15,2604.15,0.0,0.0,10416.6,10416.6,NSE,EQUITY,INE158A01026,4.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
AXISBANK,20.0,690.05,690.05,0.0,0.0,13801.0,13801.0,NSE,EQUITY,INE238A01034,20.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
NESTLEIND,50.0,1745.01,1745.01,0.0,0.0,87250.5,87250.5,NSE,EQUITY,INE239A01024,50.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
IOC,237.0,83.1,83.1,0.0,0.0,19694.699999999997,19694.699999999997,NSE,EQUITY,INE242A01010,237.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
SONATSOFTW,26.0,297.18,297.18,0.0,0.0,7726.68,7726.68,NSE,EQUITY,INE269A01021,26.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
BAJFINANCE,3.0,5685.15,5685.15,0.0,0.0,17055.449999999997,17055.449999999997,NSE,EQUITY,INE296A01024,3.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
PIDILITIND,15.0,2305.41,2305.41,0.0,0.0,34581.149999999994,34581.149999999994,NSE,EQUITY,INE318A01026,15.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
SUNDRMFAST,8.0,848.6,848.6,0.0,0.0,6788.8,6788.8,NSE,EQUITY,INE387A01021,8.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
COALINDIA,100.0,191.8,191.8,0.0,0.0,19180.0,19180.0,NSE,EQUITY,INE522F01014,100.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
NMDC,150.0,17.35,17.35,0.0,0.0,2602.5,2602.5,NSE,EQUITY,INE584A01023,150.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
POWERGRID,46.0,160.21,160.21,0.0,0.0,7369.660000000001,7369.660000000001,NSE,EQUITY,INE752E01010,46.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
JIOFIN,20.0,120.6,120.6,0.0,0.0,2412.0,2412.0,NSE,EQUITY,INE758E01017,20.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
MOTHERSON,54.0,112.72,112.72,0.0,0.0,6086.88,6086.88,NSE,EQUITY,INE775A01035,54.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
ARE&M,17.0,586.32,586.32,0.0,0.0,9967.44,9967.44,NSE,EQUITY,INE885A01032,17.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
ENDURANCE,6.0,1490.44,1490.44,0.0,0.0,8942.64,8942.64,NSE,EQUITY,INE913H01037,6.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
HDFCNIFTY,15.0,180.2,180.2,0.0,0.0,2703.0,2703.0,NSE,EQUITY,INF179KC1965,15.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
HDFCSENSEX,70.0,61.38,61.38,0.0,0.0,4296.6,4296.6,NSE,EQUITY,INF179KC1HX2,70.0,0,LOW,HOLD,Analysis failed: 'ComprehensiveStockScreener' object has no attribute 'analyze_individual_stock'
