symbol,action,current_value,predicted_return,pnl_percent,reason,confidence
SGBAUG28V,SELL,4775.0,0,0.0,Below target return: 0.00%,LOW
SBICARD,SELL,9420.499877929688,0,24.779790957649794,Below target return: 0.00%,LOW
HINDUNILVR,SELL,35467.5,0,7.222862118065332,Below target return: 0.00%,LOW
EMBASSY,SELL,11645.399780273438,0,3.772019321458881,Below target return: 0.00%,LOW
KPITTECH,SELL,22411.100830078125,0,120.75421963698132,Below target return: 0.00%,LOW
TATASTEEL,SELL,47453.997802734375,0,45.64035786371536,Below target return: 0.00%,LOW
ICICIBANK,SELL,57240.0,0,87.68689995278316,Below target return: 0.00%,LOW
M&M,SELL,30533.9990234375,0,266.9687164800315,Below target return: 0.00%,LOW
ITC,SELL,20850.0,0,80.64460232195461,Below target return: 0.00%,LOW
HEROMOTOCO,SELL,16802.400390625,0,61.304076096087016,Below target return: 0.00%,LOW
AXISBANK,SELL,23420.0,0,69.6978479820303,Below target return: 0.00%,LOW
NESTLEIND,SELL,119875.0,0,37.39176279792093,Below target return: 0.00%,LOW
IOC,SELL,33338.78956604004,0,69.27797613591497,Below target return: 0.00%,LOW
SONATSOFTW,SELL,10721.100158691406,0,38.7542923829045,Below target return: 0.00%,LOW
BAJFINANCE,SELL,26961.0,0,58.07850276597806,Below target return: 0.00%,LOW
PIDILITIND,SELL,46429.500732421875,0,34.26245434990416,Below target return: 0.00%,LOW
SUNDRMFAST,SELL,7960.0,0,17.251944378977136,Below target return: 0.00%,LOW
COALINDIA,SELL,39460.00061035156,0,105.73514395386634,Below target return: 0.00%,LOW
NMDC,SELL,10552.499771118164,0,305.47549552807544,Below target return: 0.00%,LOW
POWERGRID,SELL,13273.299438476562,0,80.10735147179872,Below target return: 0.00%,LOW
JIOFIN,SELL,5807.0001220703125,0,140.75456559163817,Below target return: 0.00%,LOW
MOTHERSON,SELL,8246.340362548828,0,35.47729481357983,Below target return: 0.00%,LOW
ARE&M,SELL,16974.5,0,70.29949515622867,Below target return: 0.00%,LOW
ENDURANCE,SELL,14723.3994140625,0,64.64264930783864,Below target return: 0.00%,LOW
HDFCNIFTY,SELL,4106.699981689453,0,51.931186891951654,Below target return: 0.00%,LOW
HDFCSENSEX,SELL,6345.500106811523,0,47.68654533378771,Below target return: 0.00%,LOW
